transaction_id,transaction_date,restaurant_id,customer_id,quantity,total_amount,payment_method,discount_amount,tax_amount,net_amount
T001,2024-01-01,R001,C001,2,45.00,Credit Card,5.00,3.60,43.60
T002,2024-01-02,R002,C002,1,25.00,Cash,0.00,2.00,27.00
T003,2024-01-03,R003,C003,3,75.00,Credit Card,10.00,6.00,71.00
T004,2024-01-04,R004,C004,4,60.00,Debit Card,5.00,4.80,59.80
T005,2024-01-05,R005,C005,2,40.00,Cash,0.00,3.20,43.20
T006,2024-01-06,R006,C006,5,120.00,Credit Card,15.00,9.60,114.60
T007,2024-01-07,R007,C007,1,18.00,UPI,0.00,1.44,19.44
T008,2024-01-08,R008,C008,3,90.00,Debit Card,10.00,7.20,87.20
T009,2024-01-09,R009,C009,2,55.00,Credit Card,5.00,4.40,54.40
T010,2024-01-10,R010,C010,1,30.00,Cash,0.00,2.40,32.40
T011,2024-01-11,R001,C011,2,48.00,Credit Card,3.00,3.84,48.84
T012,2024-01-12,R002,C012,3,70.00,UPI,5.00,5.60,70.60
T013,2024-01-13,R003,C013,2,60.00,Debit Card,5.00,4.80,59.80
T014,2024-01-14,R004,C014,1,20.00,Cash,0.00,1.60,21.60
T015,2024-01-15,R005,C015,4,85.00,Credit Card,10.00,6.80,81.80
T016,2024-01-16,R006,C016,3,75.00,UPI,5.00,6.00,76.00
T017,2024-01-17,R007,C017,2,36.00,Credit Card,0.00,2.88,38.88
T018,2024-01-18,R008,C018,5,150.00,Debit Card,20.00,12.00,142.00
T019,2024-01-19,R009,C019,1,28.00,Cash,0.00,2.24,30.24
T020,2024-01-20,R010,C020,2,65.00,Credit Card,5.00,5.20,65.20
